📺 央视频道,#genre#
湖南卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.181:5002?fcc=150.138.8.132:8027
浙江卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.182:5002?fcc=150.138.8.132:8027
江苏卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.183:5002?fcc=150.138.8.132:8027
东方卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.184:5002?fcc=150.138.8.132:8027
北京卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.172:5002?fcc=150.138.8.132:8027
广东卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.173:5002?fcc=150.138.8.132:8027
深圳卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.174:5002?fcc=150.138.8.132:8027
山东卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.179:5002?fcc=150.138.8.132:8027
山东卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.157:5002?fcc=150.138.8.132:8027
四川卫视-4K,http://192.168.123.1:20231/rtp/239.21.2.185:5002?fcc=150.138.8.132:8027

🎬 特色频道,#genre#
金鹰卡通,http://192.168.123.1:20231/rtp/239.21.2.121:5002?fcc=150.138.8.132:8027
卡酷少儿,http://192.168.123.1:20231/rtp/239.21.2.120:5002?fcc=150.138.8.132:8027
CHC家庭影院,http://192.168.123.1:20231/rtp/239.21.2.126:5002?fcc=150.138.8.132:8027
CHC动作电影,http://192.168.123.1:20231/rtp/239.21.2.128:5002?fcc=150.138.8.132:8027
CHC影迷电影,http://192.168.123.1:20231/rtp/239.21.2.127:5002?fcc=150.138.8.132:8027
精彩影视,http://192.168.123.1:20231/rtp/239.21.2.91:5002?fcc=150.138.8.132:8027
都市剧场,http://192.168.123.1:20231/rtp/239.21.2.90:5002?fcc=150.138.8.132:8027
金鹰纪实,http://192.168.123.1:20231/rtp/239.21.1.170:5002?fcc=150.138.8.132:8027
纪实科教,http://192.168.123.1:20231/rtp/239.21.1.172:5002?fcc=150.138.8.132:8027
法治天地,http://192.168.123.1:20231/rtp/239.21.2.105:5002?fcc=150.138.8.132:8027
中国教育-1,http://192.168.123.1:20231/rtp/239.21.2.7:5002?fcc=150.138.8.132:8027
中学生,http://192.168.123.1:20231/rtp/239.21.2.176:5002?fcc=150.138.8.132:8027
中国教育-4,http://192.168.123.1:20231/rtp/239.21.2.129:5002?fcc=150.138.8.132:8027
求索纪录,http://192.168.123.1:20231/rtp/239.21.2.159:5002?fcc=150.138.8.132:8027
游戏风云,http://192.168.123.1:20231/rtp/239.21.2.107:5002?fcc=150.138.8.132:8027
生活时尚,http://192.168.123.1:20231/rtp/239.21.2.103:5002?fcc=150.138.8.132:8027
动漫秀场,http://192.168.123.1:20231/rtp/239.21.2.92:5002?fcc=150.138.8.132:8027
东方财经,http://192.168.123.1:20231/rtp/239.21.2.108:5002?fcc=150.138.8.132:8027
财富天下,http://192.168.123.1:20231/rtp/239.21.1.127:5002?fcc=150.138.8.132:8027
中国交通,http://192.168.123.1:20231/rtp/239.21.1.115:5002?fcc=150.138.8.132:8027
乐游,http://192.168.123.1:20231/rtp/239.21.2.104:5002?fcc=150.138.8.132:8027
快乐垂钓,http://192.168.123.1:20231/rtp/239.21.2.97:5002?fcc=150.138.8.132:8027
四海钓鱼,http://192.168.123.1:20231/rtp/239.21.2.180:5002?fcc=150.138.8.132:8027
文物宝库,http://192.168.123.1:20231/rtp/239.21.2.109:5002?fcc=150.138.8.132:8027
梨园,http://192.168.123.1:20231/rtp/239.21.2.101:5002?fcc=150.138.8.132:8027
